Name (Institution or Individual),Startups,Startup Count,Investment Lists,LinkedIn Profile,Email,Notes,Contacts,Investor Type
EIT Manufacturing,Holy Technologies,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
Horizons Ventures,Divergent,1,"""Factory Futures (MES, IIOT)""",,,,,
Stifel North Atlantic AM-Forward Fund,Sintavia,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
Reiwag Singapore Pte Ltd (Pre-A lead investor),LionsBot,1,Bleeding Edge BIM (AEC/BIM),,,,,
DMG MORI AG,up2parts GmbH,1,"""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,
UT Austin),nVariate,1,Design Intelligence (CAD),,,,,Individual
Antler and other early stage venture backers,Tandem AI,1,Design Intelligence (CAD),,,,,
Buildery,Bench,1,Design Intelligence (CAD),,,,,
Data Point Capital,APERIO,1,"""Factory Futures (MES, IIOT)""",,,,,
Danobat,Saeki,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
Revenue Syndicate,Bench,1,Design Intelligence (CAD),,,,,
UpWest,Imubit,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
public funding not found,Hontrel,1,Bleeding Edge BIM (AEC/BIM),,,,,
Investinor,Intelecy,1,"""Factory Futures (MES, IIOT)""",,,,,
Pacific Western Bank,Apprentice,1,"""Factory Futures (MES, IIOT)""",,,,,
Significant Ventures (Lead),H3D,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
Unusual Ventures,CO2 AI,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
Recursive Ventures,IntuitgenceAI,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
NPIF Mercia Equity Finance,Productive Machines,1,"""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,
other VCs,Litmus,1,"""Factory Futures (MES, IIOT)""",,,,,
Columbus Nova,ConXtech,1,Bleeding Edge BIM (AEC/BIM),,,,,
Lightbird,Saeki,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
